"gen", "Length", "Diameter", "Number of", "Gravity angle", "Branching angle", 
1,  10.26, 1.539, 1, 0.34906585, 1.666789436, 
2,  4.070, 1.043, 2, 0.541052068, 0.975639052, 
3,  1.624, 0.710, 4, 0.750491578, 0.572467995, 
4,  0.650, 0.479, 8, 0.680678408, 0.338593875, 
5,  1.086, 0.385, 16, 0.680678408, 0.705113018, 
6,  0.915, 0.299, 32, 0.698131701, 0.764454212, 
7,  0.769, 0.239, 64, 0.628318531, 0.802851456, 
8,  0.650, 0.197, 128, 0.680678408, 0.825540736, 
9,  0.547, 0.159, 256, 0.785398163, 0.860447321, 
10, 0.462, 0.132, 512, 0.750491578, 0.876155285, 
11, 0.393, 0.111, 1024, 0.785398163, 0.884881931, 
12, 0.333, 0.093, 2048, 0.785398163, 0.895353906, 
13, 0.282, 0.081, 4096, 1.047197551, 0.869173967, 
14, 0.231, 0.070, 8192, 1.047197551, 0.823795407, 
15, 0.197, 0.063, 16384, 1.047197551, 0.776671517, 
16, 0.171, 0.056, 32768, 1.047197551, 0.757472895, 
17, 0.141, 0.051, 65536, 1.047197551, 0.687659725, 
18, 0.121, 0.046, 131072, 1.047197551, 0.785398163, 
19, 0.100, 0.043, 262144, 1.047197551, 0.785398163, 
20, 0.085, 0.040, 524288, 1.047197551, 0.785398163, 
21, 0.071, 0.038, 1048576, 1.047197551, 0.785398163, 
22, 0.060, 0.037, 2097152, 1.047197551, 0.785398163, 
23, 0.050, 0.035, 4194304, 1.047197551, 0.785398163, 
24, 0.043, 0.035, 8388608, 1.047197551, 0.785398163, 
